Index	Type	Description         	TileX	TileY	x	y	z	heading	qual	owner	link	flags
1	63	    a_jeweled_shield	-1	-1	5	3	96	45	0	0	0	9
2	12	       a_black_sword	-1	-1	3	1	10	225	12	16	64	3
3	4	        a_shortsword	-1	-1	0	7	116	90	40	18	928	0
4	397	 a_set_variable_trap	-1	-1	7	2	37	45	1	52	218	2
5	22	                acid	-1	-1	5	6	15	225	33	40	1019	7
6	307	              a_book	-1	-1	2	3	52	225	13	6	118	4
7	398	a_check_variable_trap	-1	-1	0	2	73	270	9	6	44	4
8	32	      a_leather_vest	-1	-1	0	1	116	90	40	0	940	0
9	232	         an_An_stone	-1	-1	7	6	9	90	7	14	26	3
