cnvdasm - ultima underworld conversation script disassembler / decompiler

loading game strings

could not load code ...
;
; conversation #2
; string block 0x0e01, name: goblin
;

0000:   START
0001:   PUSHBP
0002:   SPTOBP
0003:   PUSHI #0000
0005:   ADDSP
0006:   PUSHI #0020
0008:   PUSHI #0000
000a:   STO
000b:   CALL $074a
000d:   CALL $0012
000f:   BPTOSP
0010:   POPBP
0011:   RET


 ;| xref: 000d 00fc 010b 0124 0142 0151 0160 016a
0012:   PUSHBP
0013:   SPTOBP
0014:   PUSHI #0000
0016:   ADDSP
0017:   PUSHI #001f
0019:   PUSHI #0001
001b:   STO
001c:   EXIT_OP
001d:   BPTOSP
001e:   POPBP
001f:   RET

0020:   PUSHBP
0021:   SPTOBP
0022:   PUSHI #0002
0024:   ADDSP
0025:   PUSHI #0004
0027:   PUSHI_EFF #0002
0029:   SWAP
002a:   STO
002b:   PUSHI_EFF #0002
002d:   PUSHI #0001
002f:   CALLI $000f
0031:   POP
0032:   POP
0033:   PUSH_REG
0034:   PUSHI_EFF #0001
0036:   SWAP
0037:   STO
0038:   JMP $003a

 ;| xref: 0038
003a:   PUSHI_EFF #0001
003c:   FETCHM
003d:   SAVE_REG
003e:   POP
003f:   BPTOSP
0040:   POPBP
0041:   RET

0042:   PUSHBP
0043:   SPTOBP
0044:   PUSHI #0001
0046:   ADDSP
0047:   PUSHI #0000
0049:   PUSHI_EFF #0001
004b:   SWAP
004c:   STO
004d:   PUSHI_EFF #0001
004f:   PUSHI #0001
0051:   CALLI $000f
0053:   POP
0054:   POP
0055:   BPTOSP
0056:   POPBP
0057:   RET

0058:   PUSHBP
0059:   SPTOBP
005a:   PUSHI #0002
005c:   ADDSP
005d:   PUSHI #0001
005f:   PUSHI_EFF #0002
0061:   SWAP
0062:   STO
0063:   PUSHI_EFF #0002
0065:   PUSHI #0001
0067:   CALLI $000f
0069:   POP
006a:   POP
006b:   PUSH_REG
006c:   PUSHI_EFF #0001
006e:   SWAP
006f:   STO
0070:   JMP $0072

 ;| xref: 0070
0072:   PUSHI_EFF #0001
0074:   FETCHM
0075:   SAVE_REG
0076:   POP
0077:   BPTOSP
0078:   POPBP
0079:   RET

007a:   PUSHBP
007b:   SPTOBP
007c:   PUSHI #0001
007e:   ADDSP
007f:   PUSHI #0014
0081:   FETCHM
0082:   PUSHI #0005
0084:   TSTEQ
0085:   PUSHI #0014
0087:   FETCHM
0088:   PUSHI #0006
008a:   TSTEQ
008b:   OPOR
008c:   PUSHI #0014
008e:   FETCHM
008f:   PUSHI #0009
0091:   TSTEQ
0092:   OPOR
0093:   PUSHI #0016
0095:   FETCHM
0096:   PUSHI #0001
0098:   TSTEQ
0099:   OPAND
009a:   PUSHI #0015
009c:   FETCHM
009d:   PUSHI #0000
009f:   TSTEQ
00a0:   OPOR
00a1:   BEQ +000b // target: 00ad
00a3:   PUSHI #0000
00a5:   PUSHI_EFF #0001
00a7:   SWAP
00a8:   STO
00a9:   JMP $00b5
00ab:   BRA +0009 // target: 00b5

 ;| xref: 00a1
00ad:   PUSHI #0001
00af:   PUSHI_EFF #0001
00b1:   SWAP
00b2:   STO
00b3:   JMP $00b5

 ;| xref: 00a9 00ab 00b3
00b5:   PUSHI_EFF #0001
00b7:   FETCHM
00b8:   SAVE_REG
00b9:   POP
00ba:   BPTOSP
00bb:   POPBP
00bc:   RET

00bd:   PUSHBP
00be:   SPTOBP
00bf:   PUSHI #0002
00c1:   ADDSP
00c2:   PUSHI #0001
00c4:   PUSHI_EFF #0001
00c6:   SWAP
00c7:   STO
00c8:   PUSHI_EFF #0001
00ca:   PUSHI #0002
00cc:   PUSHI_EFF #0002
00ce:   SWAP
00cf:   STO
00d0:   PUSHI_EFF #0002
00d2:   PUSHI_EFF #fffc
00d4:   FETCHM
00d5:   PUSHI_EFF #fffd
00d7:   FETCHM
00d8:   PUSHI_EFF #fffe
00da:   FETCHM
00db:   PUSHI #0005
00dd:   CALLI $0037
00df:   POP
00e0:   POP
00e1:   POP
00e2:   POP
00e3:   POP
00e4:   POP
